NONC X. galericulata thallus measurements (mm) of the width and height.,,,,,,"Measured the 1st week of May 2011, on the north side of each tree, focused on the 45-55cm high quadrat.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Note, after looking at the way the data is distributed within each tree, it might make more sense to use the median instead of the average value per tree.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"A few mistakes in there were updated on Dec 2, 2018.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Xanthomendoza galericulata sizes,,,,,,,,,,,,,,,
Tree,Genotype,Measurement,Thallus #1,Thallus #2,Thallus #3,Thallus #4,Thallus #5,Thallus #6,Thallus #7,Thallus #8,Thallus #9,Thallus #10,Average one way direction,Average thallus area (mm^2) (assuming a square),Average thallus area (mm^2) (assuming a circle),Notes,,
,,,,,,,,,,,,,,,,,,
N1-40,RL-6,Dimension 1,0.50,0.50,0.50,0.50,0.50,1.36,0.87,0.90,1.69,0.87,0.819,,,,,
,,Dimension 2,0.50,0.50,0.50,0.50,0.50,1.29,0.87,0.90,2.41,0.87,0.884,0.723996,0.569454706,,,
,,,,,,,,,,,,,,,,,,
N2-03,1017,Dimension 1,3.65,0.95,3.33,0.57,0.85,0.25,4.44,0.74,1.51,1.25,1.754,,,,,
,,Dimension 2,4.65,0.80,4.26,1.18,0.98,0.25,4.44,0.50,2.95,1.30,2.131,3.737774,2.963547799,,,
,,,,,,,,,,,,,,,,,,
N2-04,996,Dimension 1,0.73,0.50,1.06,0.35,1.36,0.47,1.38,0.50,0.56,0.91,0.782,,,,,
,,Dimension 2,0.73,0.50,1.49,0.35,1.68,0.47,1.84,0.50,0.57,1.35,0.948,0.741336,0.587654541,,,
,,,,,,,,,,,,,,,,,,
N2-10,996,Dimension 1,1.98,0.60,0.50,1.54,0.50,0.25,3.01,1.98,0.92,2.20,1.348,,,,,
,,Dimension 2,1.64,0.60,0.50,1.37,0.50,0.25,2.36,1.98,1.72,2.08,1.3,1.7524,1.376784131,,,
,,,,,,,,,,,,,,,,,,
N2-11,1012,Dimension 1,1.19,1.92,1.32,0.98,1.09,0.69,0.84,0.69,0.54,1.98,1.124,,,,,
,,Dimension 2,1.73,3.34,1.32,0.98,1.09,0.69,0.79,0.69,0.54,1.14,1.231,1.383644,1.088959462,,,
,,,,,,,,,,,,,,,,,,
N2-12,1023,Dimension 1,0.81,0.87,1.71,2.02,0.40,1.42,1.50,1.59,1.70,1.63,1.365,,,,,
